Name,Home2013,Away2013,Home2014,Away2014
Pedro Alvarez,0.282,0.31,0.315,0.309
Adrian Beltre,0.375,0.367,0.415,0.364
Carlos Beltran,0.338,0.43,0.319,0.28
Michael Bourn,0.314,0.317,0.34,0.294
Robinson Cano,0.401,0.366,0.377,0.386
Matt Carpenter,0.432,0.353,0.353,0.396
Alejandro De Aza,0.338,0.308,0.32,0.308
Ian Desmond,0.361,0.301,0.318,0.308
Josh Donaldson,0.367,0.4,0.322,0.361
Alcides Escobar,0.252,0.266,0.324,0.31
Jedd Gyorko,0.301,0.301,0.294,0.264
Eric Hosmer,0.352,0.355,0.26,0.37
Juan Lagares,0.266,0.297,0.314,0.327
James Loney,0.29,0.404,0.352,0.321
Justin Morneau,0.336,0.312,0.363,0.364
Buster Posey,0.366,0.377,0.307,0.417
Alex Rios,0.309,0.338,0.319,0.304
Kyle Seager,0.316,0.36,0.37,0.301
Jean Segura,0.314,0.344,0.305,0.274
Ben Zobrist,0.368,0.341,0.379,0.329
