"Lastname","Firstname","Year","AB","H","X2B","X3B","HR"
"Aikens","Willie",1980,543,151,24,0,20
"Armas","Tony",1980,628,175,18,8,35
"Baines","Harold",1980,491,125,23,6,13
"Baker","Dusty",1980,579,170,26,4,29
"Bell","Buddy",1980,490,161,24,4,17
"Bochte","Bruce",1980,520,156,34,4,13
"Bonnell","Barry",1980,463,124,22,4,13
"Boone","Bob",1980,480,110,23,1,9
"Bowa","Larry",1980,540,144,16,4,2
"Brett","George",1980,449,175,33,9,24
"Brookens","Tom",1980,509,140,25,9,10
"Brown","Bobby",1980,412,107,12,5,14
"Buckner","Bill",1980,578,187,41,3,10
"Bumbry","Al",1980,645,205,29,9,9
"Burleson","Rick",1980,644,179,29,2,8
"Cabell","Enos",1980,604,167,23,8,2
"Carew","Rod",1980,540,179,34,7,3
"Carter","Gary",1980,549,145,25,5,29
"Castino","John",1980,546,165,17,7,13
"Cedeno","Cesar",1980,499,154,32,8,10
"Cerone","Rick",1980,519,144,30,4,14
"Cey","Ron",1980,551,140,25,0,28
"Chambliss","Chris",1980,602,170,37,2,18
"Charboneau","Joe",1980,453,131,17,2,23
"Clark","Jack",1980,437,124,20,8,22
"Collins","Dave",1980,551,167,20,4,3
"Concepcion","Dave",1980,622,162,31,8,5
"Cooper","Cecil",1980,622,219,33,4,25
"Cowens","Al",1980,403,113,15,3,5
"Cromartie","Warren",1980,597,172,33,5,14
"Cruz","Jose",1980,612,185,29,7,11
"Cruz","Julio",1980,422,88,9,3,2
"Dauer","Rich",1980,557,158,32,0,2
"Dawson","Andre",1980,577,178,41,7,17
"DeCinces","Doug",1980,489,122,23,2,16
"DeJesus","Ivan",1980,618,160,26,3,3
"Dent","Bucky",1980,489,128,26,2,5
"Dilone","Miguel",1980,528,180,30,9,0
"Driessen","Dan",1980,524,139,36,1,14
"Evans","Darrell",1980,556,147,23,0,20
"Evans","Dwight",1980,463,123,37,5,18
"Fisk","Carlton",1980,478,138,25,3,18
"Flynn","Doug",1980,443,113,9,8,0
"Foli","Tim",1980,495,131,22,0,3
"Foster","George",1980,528,144,21,5,25
"Gantner","Jim",1980,415,117,21,3,4
"Garcia","Damaso",1980,543,151,30,7,4
"Garner","Phil",1980,548,142,27,6,5
"Garvey","Steve",1980,658,200,27,1,26
"Grich","Bobby",1980,498,135,22,2,14
"Griffin","Alfredo",1980,653,166,26,15,2
"Griffey","Ken",1980,544,160,28,10,13
"Hargrove","Mike",1980,589,179,22,2,11
"Harrah","Toby",1980,561,150,22,4,11
"Henderson","Rickey",1980,591,179,22,4,9
"Henderson","Steve",1980,513,149,17,8,8
"Hendrick","George",1980,572,173,33,2,25
"Hernandez","Keith",1980,595,191,39,8,16
"Herndon","Larry",1980,493,127,17,11,8
"Horner","Bob",1980,463,124,14,1,35
"Howell","Roy",1980,528,142,28,9,10
"Hubbard","Glenn",1980,431,107,21,3,9
"Jackson","Reggie",1980,514,154,22,4,41
"Johnson","Lamar",1980,541,150,26,3,13
"Kemp","Steve",1980,508,149,23,3,21
"Knight","Ray",1980,618,163,39,7,14
"Landreaux","Ken",1980,484,136,23,11,7
"Lansford","Carney",1980,602,157,27,3,15
"LeFlore","Ron",1980,521,134,21,11,4
"LeMaster","Johnnie",1980,405,87,16,6,3
"Lemon","Chet",1980,514,150,32,6,11
"Lezcano","Sixto",1980,411,94,19,3,18
"Lopes","Davey",1980,553,139,15,3,10
"Lynn","Fred",1980,415,125,32,3,12
"Maddox","Elliott",1980,411,101,16,1,4
"Maddox","Garry",1980,549,142,31,3,11
"Madlock","Bill",1980,494,137,22,4,10
"Manning","Rick",1980,471,110,17,4,3
"Martin","Jerry",1980,494,112,22,2,23
"Matthews","Gary",1980,571,159,17,3,19
"Mayberry","John",1980,501,124,19,2,30
"Mazzilli","Lee",1980,578,162,31,4,16
"McBride","Bake",1980,554,171,33,10,9
"McRae","Hal",1980,489,145,39,5,14
"Meyer","Dan",1980,531,146,25,6,11
"Miller","Rick",1980,412,113,14,3,2
"Molitor","Paul",1980,450,137,29,2,9
"Montanez","Willie",1980,481,132,12,4,6
"Moreno","Omar",1980,676,168,20,13,2
"Morgan","Joe",1980,461,112,17,5,11
"Morrison","Jim",1980,604,171,40,0,15
"Mumphrey","Jerry",1980,564,168,24,3,4
"Murphy","Dale",1980,569,160,27,2,33
"Murphy","Dwayne",1980,573,157,18,2,13
"Murray","Eddie",1980,621,186,36,2,32
"Newman","Jeff",1980,438,102,19,1,15
"Nordhagen","Wayne",1980,415,115,22,4,15
"North","Billy",1980,415,104,12,1,1
"Oberkfell","Ken",1980,422,128,27,6,3
"Oglivie","Ben",1980,592,180,26,2,41
"Oliver","Al",1980,656,209,43,3,19
"Orta","Jorge",1980,481,140,18,3,10
"Paciorek","Tom",1980,418,114,19,1,15
"Parker","Dave",1980,518,153,31,1,17
"Parrish","Larry",1980,452,115,27,3,15
"Parrish","Lance",1980,553,158,34,6,24
"Perez","Tony",1980,585,161,31,3,25
"Peters","Rick",1980,477,139,19,7,2
"Porter","Darrell",1980,418,104,14,2,7
"Powell","Hosken",1980,485,127,17,5,6
"Puhl","Terry",1980,535,151,24,5,13
"Putnam","Pat",1980,410,108,16,2,13
"Randle","Len",1980,489,135,19,6,5
"Randolph","Willie",1980,513,151,23,7,7
"Reitz","Ken",1980,523,141,33,0,8
"Rice","Jim",1980,504,148,22,6,24
"Richards","Gene",1980,642,193,26,8,4
"Rivers","Mickey",1980,630,210,32,6,7
"Rose","Pete",1980,655,185,42,1,1
"Russell","Bill",1980,466,123,23,2,3
"Schmidt","Mike",1980,548,157,25,8,48
"Scott","Rodney",1980,567,127,13,13,0
"Scott","Tony",1980,415,104,19,3,0
"Simmons","Ted",1980,495,150,33,2,21
"Singleton","Ken",1980,583,177,28,3,24
"Smalley","Roy",1980,486,135,24,1,12
"Smith","Ozzie",1980,609,140,18,5,0
"Sofield","Rick",1980,417,103,18,4,9
"Stapleton","Dave",1980,449,144,33,5,7
"Sundberg","Jim",1980,505,138,24,1,10
"Taveras","Frank",1980,562,157,27,0,0
"Templeton","Garry",1980,504,161,19,9,4
"Thomas","Gorman",1980,628,150,26,3,38
"Trammell","Alan",1980,560,168,21,5,9
"Trillo","Manny",1980,531,155,25,9,7
"Washington","U.L.",1980,549,150,16,11,6
"Wathan","John",1980,453,138,14,7,6
"Watson","Bob",1980,469,144,25,3,13
"Whitaker","Lou",1980,477,111,19,1,1
"White","Frank",1980,560,148,23,4,7
"Wilfong","Rob",1980,416,103,16,5,8
"Wills","Bump",1980,578,152,31,5,5
"Wilson","Willie",1980,705,230,28,15,3
"Winfield","Dave",1980,558,154,25,6,20
"Wynegar","Butch",1980,486,124,18,3,5
"Youngblood","Joel",1980,514,142,26,2,8
"Yount","Robin",1980,611,179,49,10,23
"Zisk","Richie",1980,448,130,17,1,19
