Runners,Runs,Count
0,0,57
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,8,0
1,0,46
1,1,5
1,2,0
1,3,0
1,4,0
1,5,0
1,8,0
2,0,17
2,1,12
2,2,5
2,3,0
2,4,0
2,5,0
2,8,0
3,0,3
3,1,5
3,2,9
3,3,0
3,4,0
3,5,0
3,8,0
4,0,0
4,1,1
4,2,6
4,3,1
4,4,0
4,5,0
4,8,0
5,0,0
5,1,0
5,2,1
5,3,1
5,4,1
5,5,2
5,8,0
6,0,0
6,1,0
6,2,0
6,3,1
6,4,0
6,5,1
6,8,0
7,0,0
7,1,0
7,2,0
7,3,0
7,4,1
7,5,0
7,8,0
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,8,1
