HomeTeam,League,Attendance
ANA,AL,38221
ARI,NL,25602
ATL,NL,29065
BAL,AL,30426
BOS,AL,36495
CHA,AL,20381
CHN,NL,32742
CIN,NL,30576
CLE,AL,17746
COL,NL,33090
DET,AL,36015
HOU,AL,21628
KCA,AL,24154
LAN,NL,46696
MIA,NL,21386
MIL,NL,34536
MIN,AL,27785
NYA,AL,41995
NYN,NL,26528
OAK,AL,24736
PHI,NL,29924
PIT,NL,30155
SDN,NL,27103
SEA,AL,25486
SFN,NL,41589
SLN,NL,43712
TBA,AL,17858
TEX,AL,33565
TOR,AL,29327
WAS,NL,31844
