"YR","TM","L","G","AB","R","H","HR","RBI","AVG","OBP","SLG"
1914,"Bos","A",5,10,1,2,0,2,0.2,0.2,0.3
1915,"Bos","A",42,92,16,29,4,21,0.315,0.376,0.576
1916,"Bos","A",67,136,18,37,3,15,0.272,0.322,0.419
1917,"Bos","A",52,123,14,40,2,12,0.325,0.385,0.472
1918,"Bos","A",95,317,50,95,11,66,0.3,0.41,0.555
1919,"Bos","A",130,432,103,139,29,114,0.322,0.456,0.657
1920,"NY","A",142,458,158,172,54,137,0.376,0.53,0.847
1921,"NY","A",152,540,177,204,59,171,0.378,0.512,0.846
1922,"NY","A",110,406,94,128,35,99,0.315,0.434,0.672
1923,"NY","A",152,522,151,205,41,131,0.393,0.545,0.764
1924,"NY","A",153,529,143,200,46,121,0.378,0.513,0.739
1925,"NY","A",98,359,61,104,25,66,0.29,0.393,0.543
1926,"NY","A",152,495,139,184,47,146,0.372,0.516,0.737
1927,"NY","A",151,540,158,192,60,164,0.356,0.487,0.772
1928,"NY","A",154,536,163,173,54,142,0.323,0.461,0.709
1929,"NY","A",135,499,121,172,46,154,0.345,0.43,0.697
1930,"NY","A",145,518,150,186,49,153,0.359,0.493,0.732
1931,"NY","A",145,534,149,199,46,163,0.373,0.495,0.7
1932,"NY","A",133,457,120,156,41,137,0.341,0.489,0.661
1933,"NY","A",137,459,97,138,34,103,0.301,0.442,0.582
1934,"NY","A",125,365,78,105,22,84,0.288,0.447,0.537
1935,"Bos","N",28,72,13,13,6,12,0.181,0.359,0.431
