"Lastname","Firstname","Year","AB","H","X2B","X3B","HR"
"Anderson","John",1899,439,118,18,7,4
"Beaumont","Ginger",1899,437,154,15,8,3
"Beckley","Jake",1899,513,171,27,16,3
"Bowerman","Frank",1899,424,110,16,10,3
"Brodie","Steve",1899,531,164,26,1,3
"Burkett","Jesse",1899,558,221,21,8,7
"Casey","Doc",1899,525,141,14,8,1
"Childs","Cupid",1899,464,123,11,11,1
"Clarke","Fred",1899,602,206,23,9,5
"Collins","Jimmy",1899,599,166,28,11,5
"Cooley","Duff",1899,406,112,15,8,1
"Corcoran","Tommy",1899,537,149,11,8,0
"Cross","Lave",1899,403,122,14,5,4
"Cross","Monte",1899,557,143,25,6,3
"Dahlen","Bill",1899,428,121,22,7,4
"Daly","Tom",1899,498,156,24,9,5
"Davis","George",1899,416,140,21,5,1
"Delahanty","Ed",1899,581,238,55,9,9
"Donovan","Patsy",1899,531,156,11,7,1
"Dowd","Tommy",1899,605,168,17,6,2
"Doyle","Jack",1899,448,134,15,7,3
"Duffy","Hugh",1899,588,164,29,7,5
"Ely","Bones",1899,522,145,18,6,3
"Everitt","Bill",1899,536,166,17,5,1
"Flick","Elmer",1899,485,166,22,11,2
"Freeman","Buck",1899,588,187,19,25,25
"Gleason","Kid",1899,576,152,14,4,0
"Green","Danny",1899,475,140,12,11,6
"Harley","Dick",1899,567,142,15,7,1
"Heidrick","Emmet",1899,591,194,21,14,2
"Holmes","Ducky",1899,553,177,31,7,4
"Hoy","Dummy",1899,633,194,17,13,5
"Keeler","Willie",1899,570,216,12,13,1
"Keister","Bill",1899,523,172,22,16,3
"Kelley","Joe",1899,538,175,21,14,6
"LaChance","Candy",1899,472,145,23,10,1
"Lange","Bill",1899,416,135,21,7,1
"Lauder","Billy",1899,583,156,17,6,3
"Leach","Tommy",1899,406,117,10,6,5
"Lochhead","Harry",1899,541,129,7,1,1
"Long","Herman",1899,578,153,30,8,6
"Lowe","Bobby",1899,559,152,5,9,4
"McAllister","Sport",1899,418,99,6,8,1
"McCarthy","Jack",1899,560,171,22,17,3
"McCreery","Tom",1899,455,147,21,9,2
"Mertes","Sam",1899,426,127,13,16,9
"OBrien	Jack	1899	468	132	11	5	6
OBrien","Tom",1899,573,170,21,10,6
"Padden","Dick",1899,451,125,20,7,2
"Quinn","Joe",1899,615,176,24,6,0
"Ritchey","Claude",1899,536,161,15,7,4
"Ryan","Jimmy",1899,525,158,20,10,3
"Selbach","Kip",1899,521,154,27,11,3
"Sheckard","Jimmy",1899,536,158,18,10,3
"Slagle","Jimmy",1899,599,163,15,8,0
"Stahl","Chick",1899,576,202,23,19,7
"Sullivan","Suter",1899,473,116,16,3,0
"Tenney","Fred",1899,603,209,19,17,1
"Thomas","Roy",1899,547,178,12,4,0
"Tucker","Tommy",1899,456,110,19,3,0
"Van Haltren","George",1899,604,182,21,3,2
"Wagner","Honus",1899,571,192,43,13,7
"Wallace","Bobby",1899,577,170,28,14,12
"Williams","Jimmy",1899,617,219,28,27,9
"Abreu","Bobby",1999,546,183,35,11,20
"Alfonzo","Edgardo",1999,628,191,41,1,27
"Allen","Chad",1999,481,133,21,3,10
"Alomar","Roberto",1999,563,182,40,3,24
"Anderson","Brady",1999,564,159,28,5,24
"Anderson","Garret",1999,620,188,36,2,21
"Anderson","Marlon",1999,452,114,26,4,5
"Aurilia","Rich",1999,558,157,23,1,22
"Ausmus","Brad",1999,458,126,25,6,9
"Bagwell","Jeff",1999,562,171,35,0,42
"Barrett","Michael",1999,433,127,32,3,8
"Bell","David",1999,597,160,31,2,21
"Bell","Derek",1999,509,120,22,0,12
"Belle","Albert",1999,610,181,36,1,37
"Belliard","Ron",1999,457,135,29,4,8
"Bell","Jay",1999,589,170,32,6,38
"Beltre","Adrian",1999,538,148,27,5,15
"Beltran","Carlos",1999,663,194,27,7,22
"Benard","Marvin",1999,562,163,36,5,16
"Bichette","Dante",1999,593,177,38,2,34
"Biggio","Craig",1999,639,188,56,0,16
"Boone","Aaron",1999,472,132,26,5,14
"Boone","Bret",1999,608,153,38,1,20
"Bordick","Mike",1999,631,175,35,7,10
"Brogna","Rico",1999,619,172,29,4,24
"Brosius","Scott",1999,473,117,26,1,17
"Burnitz","Jeromy",1999,467,126,33,2,33
"Bush","Homer",1999,485,155,26,4,5
"Cairo","Miguel",1999,465,137,15,5,3
"Cameron","Mike",1999,542,139,34,9,21
"Canseco","Jose",1999,430,120,18,1,34
"Caruso","Mike",1999,529,132,11,4,2
"Casey","Sean",1999,594,197,42,3,25
"Castillo","Luis",1999,487,147,23,4,0
"Castilla","Vinny",1999,615,169,24,1,33
"Cedeno","Roger",1999,453,142,23,4,4
