"Lastname","Firstname","Year","AB","H","X2B","X3B","HR"
"Cirillo","Jeff",1999,607,198,35,1,15
"Clark","Tony",1999,536,150,29,0,31
"Clayton","Royce",1999,465,134,21,5,14
"Conine","Jeff",1999,444,129,31,1,13
"Coomer","Ron",1999,467,123,25,1,16
"Cordova","Marty",1999,425,121,28,3,14
"Cruz","Deivi",1999,518,147,35,0,13
"Damon","Johnny",1999,583,179,39,9,14
"Davis","Chili",1999,476,128,25,1,19
"Davis","Russ",1999,432,106,17,1,21
"Delgado","Carlos",1999,573,156,39,0,44
"Durham","Ray",1999,612,181,30,8,13
"Dye","Jermaine",1999,608,179,44,8,27
"Easley","Damion",1999,549,146,30,1,20
"Encarnacion","Juan",1999,509,130,30,6,19
"Erstad","Darin",1999,585,148,22,5,13
"Everett","Carl",1999,464,151,33,3,25
"Febles","Carlos",1999,453,116,22,9,10
"Fernandez","Tony",1999,485,159,41,0,6
"Finley","Steve",1999,590,156,32,10,34
"Flaherty","John",1999,446,124,19,0,14
"Fletcher","Darrin",1999,412,120,26,0,18
"Gant","Ron",1999,516,134,27,5,17
"Garciaparra","Nomar",1999,532,190,42,4,27
"Giambi","Jason",1999,575,181,36,1,33
"Giles","Brian",1999,521,164,33,3,39
"Glanville","Doug",1999,628,204,38,6,11
"Glaus","Troy",1999,551,132,29,0,29
"Gonzalez","Alex",1999,560,155,28,8,14
"Gonzalez","Juan",1999,562,183,36,1,39
"Gonzalez","Luis",1999,614,206,45,4,26
"Goodwin","Tom",1999,405,105,12,6,3
"Grace","Mark",1999,593,183,44,5,16
"Green","Shawn",1999,614,190,45,0,42
"Greer","Rusty",1999,556,167,41,3,20
"Grieve","Ben",1999,486,129,21,0,28
"Griffey Jr.","Ken",1999,606,173,26,3,48
"Grissom","Marquis",1999,603,161,27,1,20
"Grudzielanek","Mark",1999,488,159,23,5,7
"Guerrero","Vladimir",1999,610,193,37,5,42
"Guzman","Cristian",1999,420,95,12,3,1
"Gwynn","Tony",1999,411,139,27,0,10
"Helton","Todd",1999,578,185,39,5,35
"Henderson","Rickey",1999,438,138,30,0,12
"Hunter","Brian",1999,484,112,11,5,4
"Jaha","John",1999,457,126,23,0,35
"Jenkins","Geoff",1999,447,140,43,3,21
"Jeter","Derek",1999,627,219,37,9,24
"Johnson","Charles",1999,426,107,19,1,16
"Jones","Andruw",1999,592,163,35,5,26
"Jones","Chipper",1999,567,181,41,1,45
"Jordan","Brian",1999,576,163,28,4,23
"Justice","David",1999,429,123,18,0,21
"Kapler","Gabe",1999,416,102,22,4,18
"Karros","Eric",1999,578,176,40,0,34
"Kent","Jeff",1999,511,148,40,2,23
"Klesko","Ryan",1999,404,120,28,2,21
"Knoblauch","Chuck",1999,603,176,36,4,18
"Konerko","Paul",1999,513,151,31,4,24
"Kotsay","Mark",1999,495,134,23,9,8
"Lankford","Ray",1999,422,129,32,1,15
"Larkin","Barry",1999,583,171,30,4,12
"Lawton","Matt",1999,406,105,18,0,7
"Lee","Carlos",1999,492,144,32,2,16
"Lewis","Darren",1999,470,113,14,6,2
"Lieberthal","Mike",1999,510,153,33,1,31
"Lofton","Kenny",1999,465,140,28,6,7
"Loretta","Mark",1999,587,170,34,5,5
"Martin","Al",1999,541,150,36,8,24
"Martinez","Dave",1999,514,146,25,5,6
"Martinez","Edgar",1999,502,169,35,1,24
"Martinez","Tino",1999,589,155,27,2,28
"McEwing","Joe",1999,513,141,28,4,9
"McGriff","Fred",1999,529,164,30,1,32
"McGwire","Mark",1999,521,145,21,1,65
"McLemore","Mark",1999,566,155,20,7,6
"Mondesi","Raul",1999,601,152,29,5,33
"Morandini","Mickey",1999,456,110,18,5,4
"Morris","Warren",1999,511,147,20,3,15
"Mueller","Bill",1999,414,120,24,0,2
"Norton","Greg",1999,436,111,26,0,16
"Offerman","Jose",1999,586,172,37,11,8
"OLeary	Troy	1999	596	167	36	4	28
Olerud	John	1999	581	173	39	0	19
ONeill","Paul",1999,597,170,39,4,19
"Ordonez","Magglio",1999,624,188,34,3,30
"Ordonez","Rey",1999,520,134,24,2,1
"Owens","Eric",1999,440,117,22,3,9
"Palmer","Dean",1999,560,147,25,2,38
"Palmeiro","Rafael",1999,565,183,30,1,47
"Perez","Neifi",1999,690,193,27,11,12
"Phillips","Tony",1999,406,99,24,4,15
"Piazza","Mike",1999,534,162,25,0,40
"Ramirez","Manny",1999,522,174,34,3,44
"Randa","Joe",1999,628,197,36,8,16
"Reese","Pokey",1999,585,167,37,5,10
"Renteria","Edgar",1999,585,161,36,2,11
"Rivera","Ruben",1999,411,80,16,1,23
"Rodriguez","Alex",1999,502,143,25,0,42
"Rodriguez","Henry",1999,447,136,29,0,26
"Rodriguez","Ivan",1999,600,199,29,1,35
"Rolen","Scott",1999,421,113,28,1,26
"Sanchez","Rey",1999,479,141,18,6,2
"Sanders","Reggie",1999,478,136,24,7,26
"Sexson","Richie",1999,479,122,17,7,31
"Sheffield","Gary",1999,549,165,20,0,34
"Singleton","Chris",1999,496,149,31,6,17
"Snow","J.T.",1999,570,156,25,2,24
"Sosa","Sammy",1999,625,180,24,2,63
"Sprague","Ed",1999,490,131,27,2,22
"Stairs","Matt",1999,531,137,26,3,38
"Stanley","Mike",1999,427,120,22,0,19
"Stevens","Lee",1999,517,146,31,1,24
"Stewart","Shannon",1999,608,185,28,2,11
"Surhoff","B.J.",1999,673,207,38,1,28
"Sweeney","Mike",1999,575,185,44,2,22
"Tatis","Fernando",1999,537,160,31,2,34
"Taubensee","Eddie",1999,424,132,22,2,21
"Tejada","Miguel",1999,593,149,33,4,21
"Thomas","Frank",1999,486,148,36,0,15
"Thome","Jim",1999,494,137,27,2,33
"Valentin","John",1999,450,114,27,1,12
"Varitek","Jason",1999,483,130,39,2,20
"Vaughn","Greg",1999,550,135,20,2,45
"Vaughn","Mo",1999,524,147,20,0,33
"Ventura","Robin",1999,588,177,38,0,32
"Veras","Quilvio",1999,475,133,25,2,6
"Vidro","Jose",1999,494,150,45,2,12
"Vizquel","Omar",1999,574,191,36,4,5
"Walker","Larry",1999,438,166,26,4,37
"Walker","Todd",1999,531,148,37,4,6
"White","Devon",1999,474,127,20,2,14
"White","Rondell",1999,539,168,26,6,22
"Williams","Bernie",1999,591,202,28,6,25
"Williams","Gerald",1999,422,116,24,1,17
"Williams","Matt",1999,627,190,37,2,35
"Wilson","Dan",1999,414,110,23,2,7
"Wilson","Preston",1999,482,135,21,4,26
"Womack","Tony",1999,614,170,25,10,4
"Young","Eric",1999,456,128,24,2,2
"Young","Kevin",1999,584,174,41,6,26
"Zeile","Todd",1999,588,172,41,1,24
