"Lastname","Firstname","Year","AB","H","X2B","X3B","HR"
"Alou","Moises",1994,422,143,31,5,22
"Anderson","Brady",1994,453,119,25,5,12
"Baerga","Carlos",1994,442,139,32,2,19
"Bagwell","Jeff",1994,400,147,32,2,39
"Bell","Derek",1994,434,135,20,0,14
"Belle","Albert",1994,412,147,35,2,36
"Bell","Jay",1994,424,117,35,4,9
"Bichette","Dante",1994,484,147,33,2,27
"Biggio","Craig",1994,437,139,44,5,6
"Bonilla","Bobby",1994,403,117,24,1,20
"Butler","Brett",1994,417,131,13,9,8
"Caminiti","Ken",1994,406,115,28,2,18
"Canseco","Jose",1994,429,121,19,2,31
"Carr","Chuck",1994,433,114,19,2,2
"Carter","Joe",1994,435,118,25,2,27
"Coleman","Vince",1994,438,105,14,12,2
"Conine","Jeff",1994,451,144,27,6,18
"Cordero","Wil",1994,415,122,30,3,15
"Curtis","Chad",1994,453,116,23,4,11
"Fielder","Cecil",1994,425,110,16,2,28
"Franco","Julio",1994,433,138,19,2,20
"Fryman","Travis",1994,464,122,34,5,18
"Galarraga","Andres",1994,417,133,21,0,31
"Garcia","Carlos",1994,412,114,15,2,6
"Gonzalez","Juan",1994,422,116,18,4,19
"Grace","Mark",1994,403,120,23,3,6
"Griffey Jr.","Ken",1994,433,140,24,4,40
"Grissom","Marquis",1994,475,137,25,4,11
"Gwynn","Tony",1994,419,165,35,1,12
"Hayes","Charlie",1994,423,122,23,4,10
"Javier","Stan",1994,419,114,23,0,10
"Johnson","Lance",1994,412,114,11,14,3
"Karros","Eric",1994,406,108,21,1,14
"Kent","Jeff",1994,415,121,24,5,14
"Knoblauch","Chuck",1994,445,139,45,3,5
"Lankford","Ray",1994,416,111,25,5,19
"Larkin","Barry",1994,427,119,23,5,9
"Lewis","Darren",1994,451,116,15,9,4
"Lofton","Kenny",1994,459,160,32,9,12
"McGriff","Fred",1994,424,135,25,1,34
"McRae","Brian",1994,436,119,22,6,4
"Molitor","Paul",1994,454,155,30,4,14
"Mondesi","Raul",1994,434,133,27,8,16
"Morris","Hal",1994,436,146,30,4,10
"Murray","Eddie",1994,433,110,21,1,17
"Palmeiro","Rafael",1994,436,139,32,0,23
"Phillips","Tony",1994,438,123,19,3,19
"Piazza","Mike",1994,405,129,18,0,24
"Puckett","Kirby",1994,439,139,32,3,20
"Ripken Jr.","Cal",1994,444,140,19,3,13
"Roberts","Bip",1994,403,129,15,5,2
"Sanders","Reggie",1994,400,105,20,8,17
"Sierra","Ruben",1994,426,114,21,1,23
"Sosa","Sammy",1994,426,128,17,6,25
"Sprague","Ed",1994,405,97,19,1,11
"Ventura","Robin",1994,401,113,15,1,18
"Vizcaino","Jose",1994,410,105,13,3,3
"Wallach","Tim",1994,414,116,21,1,23
"Weiss","Walt",1994,423,106,11,4,1
"White","Devon",1994,403,109,24,6,13
"Williams","Bernie",1994,408,118,29,1,12
"Williams","Matt",1994,445,119,16,3,43
"Zeile","Todd",1994,415,111,25,1,19
