"Lastname","Firstname","Year","AB","H","X2B","X3B","HR"
"Taveras","Frank",1977,544,137,20,10,1
"Templeton","Garry",1977,621,200,19,18,8
"Tenace","Gene",1977,437,102,24,4,15
"Thomas","Derrel",1977,506,135,13,10,8
"Thomasson","Gary",1977,446,114,24,6,17
"Thompson","Jason",1977,585,158,24,5,31
"Thornton","Andy",1977,433,114,20,5,28
"Trillo","Manny",1977,504,141,18,5,7
"Tyson","Mike",1977,418,103,15,2,7
"Valentine","Ellis",1977,508,149,28,2,25
"Washington","Claudell",1977,521,148,31,2,12
"Watson","Bob",1977,554,160,38,6,22
"White","Frank",1977,474,116,21,5,5
"White","Roy",1977,519,139,25,2,14
"Wills","Bump",1977,541,155,28,6,9
"Winfield","Dave",1977,615,169,29,7,25
"Woods","Al",1977,440,125,17,4,6
"Wynegar","Butch",1977,532,139,22,3,10
"Yastrzemski","Carl",1977,558,165,27,3,28
"Yount","Robin",1977,605,174,34,4,4
"Zisk","Richie",1977,531,154,17,6,30
