"Lastname","Firstname","Year","AB","H","X2B","X3B","HR"
"Almon","Bill",1977,613,160,18,11,2
"Andrews","Rob",1977,436,115,11,3,0
"Ault","Doug",1977,445,109,22,3,11
"Bailor","Bob",1977,496,154,21,5,5
"Baker","Dusty",1977,533,155,26,1,30
"Bando","Sal",1977,580,145,27,3,17
"Bannister","Alan",1977,560,154,20,3,3
"Baylor","Don",1977,561,141,27,0,25
"Belanger","Mark",1977,402,83,13,4,2
"Bell","Buddy",1977,479,140,23,4,11
"Bench","Johnny",1977,494,136,34,2,31
"Beniquez","Juan",1977,424,114,19,6,10
"Biittner","Larry",1977,493,147,28,1,12
"Bonds","Bobby",1977,592,156,23,9,37
"Boone","Bob",1977,440,125,26,4,11
"Bostock","Lyman",1977,593,199,36,12,14
"Bowa","Larry",1977,624,175,19,3,4
"Braun","Steve",1977,451,106,19,1,5
"Brett","George",1977,564,176,32,13,22
"Brock","Lou",1977,489,133,22,6,2
"Buckner","Bill",1977,426,121,27,0,11
"Bumbry","Al",1977,518,164,31,3,4
"Burleson","Rick",1977,663,194,36,7,3
"Burroughs","Jeff",1977,579,157,19,1,41
"Cabell","Enos",1977,625,176,36,7,16
"Campaneris","Bert",1977,552,140,19,7,5
"Carew","Rod",1977,616,239,38,16,14
"Carter","Gary",1977,522,148,29,2,31
"Carty","Rico",1977,461,129,23,1,15
"Cash","Dave",1977,650,188,42,7,0
"Cedeno","Cesar",1977,530,148,36,8,14
"Cey","Ron",1977,564,136,22,3,30
"Chalk","Dave",1977,519,144,27,2,3
"Chambliss","Chris",1977,600,172,32,6,17
"Champion","Mike",1977,507,116,14,6,1
"Clark","Jack",1977,413,104,17,4,13
"Collins","Dave",1977,402,96,9,3,5
"Concepcion","Dave",1977,572,155,26,3,8
"Cooper","Cecil",1977,643,193,31,7,20
"Cowens","Al",1977,606,189,32,14,23
"Cromartie","Warren",1977,620,175,41,7,5
"Cruz","Jose",1977,579,173,31,10,17
"Cubbage","Mike",1977,417,110,16,5,9
"Dade","Paul",1977,461,134,15,3,3
"Dawson","Andre",1977,525,148,26,9,19
"DeCinces","Doug",1977,522,135,28,3,19
"DeJesus","Ivan",1977,624,166,31,7,3
"Dent","Bucky",1977,477,118,18,4,8
"Doyle","Denny",1977,455,109,13,6,2
"Driessen","Dan",1977,536,161,31,4,17
"Evans","Darrell",1977,461,117,18,3,17
"Fairly","Ron",1977,458,128,24,2,19
"Ferguson","Joe",1977,421,108,21,3,16
"Fisk","Carlton",1977,536,169,26,3,26
"Ford","Dan",1977,453,121,25,7,11
"Foster","George",1977,615,197,31,2,52
"Fuentes","Tito",1977,615,190,19,10,5
"Gamble","Oscar",1977,408,121,22,2,31
"Garner","Phil",1977,585,152,35,10,17
"Garr","Ralph",1977,543,163,29,7,10
"Garvey","Steve",1977,646,192,25,3,33
"Geronimo","Cesar",1977,492,131,22,4,10
"Gilbreath","Rod",1977,407,99,15,2,8
"Griffey","Ken",1977,585,186,35,8,12
"Gross","Wayne",1977,485,113,21,1,22
"Hargrove","Mike",1977,525,160,28,4,18
"Harrah","Toby",1977,539,142,25,5,27
"Hendrick","George",1977,541,168,25,2,23
"Hernandez","Keith",1977,560,163,41,4,15
"Hisle","Larry",1977,546,165,36,3,28
"Hobson","Butch",1977,593,157,33,5,30
"Horton","Willie",1977,519,150,23,3,15
"Howe","Art",1977,413,109,23,7,8
"Ivie","Mike",1977,489,133,29,2,9
"Jackson","Reggie",1977,525,150,39,2,32
"Jones","Ruppert",1977,597,157,26,8,24
"Joshua","Von",1977,536,140,25,7,9
"Kemp","Steve",1977,552,142,29,4,18
"Kuiper","Duane",1977,610,169,15,8,1
"LeFlore","Ron",1977,652,212,30,10,16
"Lemon","Chet",1977,553,151,38,4,19
"Lezcano","Sixto",1977,400,109,21,4,21
"Lopes","Davey",1977,502,142,19,5,11
"Luzinski","Greg",1977,554,171,35,3,39
"Lynn","Fred",1977,497,129,29,5,18
"Maddox","Garry",1977,571,167,27,10,14
"Madlock","Bill",1977,533,161,28,1,12
"Matthews","Gary",1977,555,157,25,5,17
"Mayberry","John",1977,543,125,22,1,23
"May","Lee",1977,585,148,16,2,27
"Mazzilli","Lee",1977,537,134,24,3,6
"McCovey","Willie",1977,478,134,21,0,28
"McRae","Hal",1977,641,191,54,11,21
"Meyer","Dan",1977,582,159,24,4,22
"Money","Don",1977,570,159,28,3,25
"Montanez","Willie",1977,544,156,31,1,20
"Morales","Jerry",1977,490,142,34,5,11
"Moreno","Omar",1977,492,118,19,9,7
"Morgan","Joe",1977,521,150,21,6,22
"Mumphrey","Jerry",1977,463,133,20,10,2
"Munson","Thurman",1977,595,183,28,5,18
"Murcer","Bobby",1977,554,147,18,3,27
"Murray","Eddie",1977,611,173,29,2,27
"Nettles","Graig",1977,589,150,23,4,37
"Norris","Jim",1977,440,119,23,6,2
"Office","Rowland",1977,428,103,13,1,5
"Oglivie","Ben",1977,450,118,24,2,21
"Oliver","Al",1977,568,175,29,6,19
"Ontiveros","Steve",1977,546,163,32,3,10
"Orta","Jorge",1977,564,159,27,8,11
"Otis","Amos",1977,478,120,20,8,17
"Page","Mitchell",1977,501,154,28,8,21
"Parker","Dave",1977,637,215,44,8,21
"Parrish","Larry",1977,402,99,19,2,11
"Patek","Freddie",1977,497,130,26,6,5
"Perez","Tony",1977,559,158,32,6,19
"Picciolo","Rob",1977,419,84,12,3,2
"Porter","Darrell",1977,425,117,21,3,16
"Randle","Len",1977,513,156,22,7,5
"Randolph","Willie",1977,551,151,28,11,4
"Reitz","Ken",1977,587,153,36,1,17
"Remy","Jerry",1977,575,145,19,10,4
"Reynolds","Craig",1977,420,104,12,3,4
"Rice","Jim",1977,644,206,29,15,39
"Richards","Gene",1977,525,152,16,11,5
"Rivers","Mickey",1977,565,184,18,5,12
"Robinson","Bill",1977,507,154,32,1,26
"Rose","Pete",1977,655,204,38,7,9
"Royster","Jerry",1977,445,96,10,2,6
"Russell","Bill",1977,634,176,28,6,4
"Sanguillen","Manny",1977,571,157,17,5,6
"Schmidt","Mike",1977,544,149,27,11,38
"Scott","George",1977,584,157,26,5,33
"Simmons","Ted",1977,516,164,25,3,21
"Singleton","Ken",1977,536,176,24,0,24
"Sizemore","Ted",1977,519,146,20,3,4
"Smalley","Roy",1977,584,135,21,5,6
"Smith","Reggie",1977,488,150,27,4,32
"Soderholm","Eric",1977,460,129,20,3,25
"Speier","Chris",1977,531,125,30,6,5
"Spencer","Jim",1977,470,116,16,1,18
"Stanton","Leroy",1977,454,125,24,1,27
"Staub","Rusty",1977,623,173,34,3,22
"Stearns","John",1977,431,108,25,1,12
"Stein","Bill",1977,556,144,26,5,13
"Stennett","Rennie",1977,453,152,20,4,5
"Sundberg","Jim",1977,453,132,20,3,6
